word,translation
дедлайн,речене́ць
меню,стравопис
лайк,вподобайка
@,равлик
тьютор,наставник
барбершоп,голярня
ксерокс,копіярка
топлес,голіциць
планшет,гортайчик
шлагбаум,перепин
фотографія,світлина
куки,репʼяшки
лінк,посилання
портфоліо,наробок
кавер,переспів
віп-зона,панський кут
селфі,самознимка
гімн,славень
баґ,вада
попкорн,баранці
рекрутер,наймар
руфер,дахолаз
скріншот,зняток
пазли,складанка
дауншифтинґ,сковородинство
чизкейк,сирник
пікнік,гаївка
шарити,поширити
пост,допис
ґаджет,пристрій
шопінґ,закупи
відео,видиво
фідбек,відгук
рюкзак,наплічник
армія,військо
бюстгалтер,персанок
бай дефолт,усталено
булінг,цькування
спіч,промова
івент,захід
хайп (галас),галас
краудфандинґ,спільнокошт
магазин,крамниця
акаунт,обліковка
челендж,виклик
wtf,якого біса?!
пилосос,пилотяг
графіті,стінопис
лайфхак,хитрик
клавіатура,набірниця
